Year	Headline	Link	Intro	Page
2020	罗马俱乐部与增长的极限	https://nei.st/medium/caixin/cw898e	时隔半个世纪，我们依然能感受到这份文献中足够震撼的前瞻性力量，《增长的极限》里的预言已经压倒性地堆积到了我们岌岌可危的全球化面前	1
2020	新冠动物模型难觅	https://nei.st/medium/caixin/cw900g	对新冠疫苗和药物研发来说，颇显尴尬的是，科学家们还没有找到特别合适的动物来为人类「以身试毒」	1
2020	心脏的数字孪生体	https://nei.st/medium/economist/the-hearts-digital-twin	病患心脏的虚拟副本将帮助医生诊断和治疗心脏病	1
2020	商业与病毒：全场最佳	https://nei.st/medium/economist/best-in-show	一场严重的经济冲击将使精英巨头强者愈强，也将改变它们所处的社会​​​	1
2020	银行行长骗贷案	https://nei.st/medium/caixin/cw900f	李昌军利用进出口银行深圳分行、北京分行行长身份，伙同不法商人、掮客骗取金融机构贷款 17 亿元	1
2020	退休政法干部告官记	https://nei.st/medium/caixin/cw899g	招商引资承诺没有兑现，山东省市区三级政府两次败诉于外来开发商。进入执行阶段，事情发展有了意外转折	1
2020	隔离经济学	https://nei.st/medium/economist/isolationomics	经过多年「隔离」的俄罗斯只是略受全球动荡的影响——目前是如此	1
2020	处置「烂苹果」	https://nei.st/medium/caixin/cw900d	金融机构的风险根源，多在公司治理上——大股东占款、内部人控制，甚至形成「内部人+腐败官员+不良企业」的「黑三角」，应及时识别、及早预案	1
2020	Photos of the Week	https://nei.st/medium/atlantic/photos-of-the-week-20200417	Please get it online	1
2020	再论不平等：当代马克思	https://nei.st/medium/economist/inequality-revisited-a-modern-marx	一位写下畅销书的经济学家倡导社会主义​​​	1
2020	日本抗疫之谜	https://nei.st/medium/caixin/cw898g	日本在边控、筛查、隔离三方面的措施相对温和，收效究竟如何？	2
2020	云南「铝计划」博弈电力格局	https://nei.st/medium/caixin/cw900b	竭尽全力谋求经济发展的西部省份，使出浑身解数吸引从东部省份退出的高耗能产业。巨大的利益博弈交织在企业与政府、政府与市场的关系中，到底孰获益、孰受损？	2
2020	芯片设计：后来者的革命时刻	https://nei.st/medium/caixin/cw899d	曾经被英特尔、Arm 等垄断的芯片指令集，现在出现免费开源版本。将满十岁的 RISC-V，在全球掀起一场芯片设计革命，它能成功吗？	2
2020	对冲基金：资本的乡村之家	https://nei.st/medium/economist/the-country-home-of-capital	为什么金融精英们正在搬离昔日的避风港​​​	2
2020	活体机器人	https://nei.st/medium/economist/robots-that-come-alive	一个研究团队用活体细胞制造机器人​​​	2
2020	WHO Cares?	https://nei.st/medium/nytimes/a-window-to-stop-the-virus-warnings-came-early-and-often	世卫组织一再赞扬中国，其行动和言论都带着政治性的谨慎，特朗普对它的指责合理吗？	2
2020	随着疫情消退，民族主义和仇外情绪在中国蔓延	https://nei.st/medium/nytimes/crisis-tamed-china-sees-outsiders-as-new-peril	一些排外情绪的表达毫不掩饰，丝毫不假装是出于公共健康的担忧	2
2020	沉没，游泳，还是弄潮	https://nei.st/medium/economist/sinking-swimming-and-surfing	这场大流行病及其破坏将加速本已在重塑商业的趋势​​​	2
